Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 26
27;Bourgogne-Franche-Comté;Données définitives;01/01/2013;00:00;2013-01-01T00:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;
76;Occitanie;Données définitives;01/01/2013;00:00;2013-01-01T00:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;
52;Pays de la Loire;Données définitives;01/01/2013;00:00;2013-01-01T00:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;
24;Centre-Val de Loire;Données définitives;01/01/2013;00:00;2013-01-01T00:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;
28;Normandie;Données définitives;01/01/2013;00:00;2013-01-01T00:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;
53;Bretagne;Données définitives;01/01/2013;00:00;2013-01-01T00:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;
44;Grand Est;Données définitives;01/01/2013;00:00;2013-01-01T00:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;
75;Nouvelle-Aquitaine;Données définitives;01/01/2013;00:00;2013-01-01T00:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;
93;Provence-Alpes-Côte d'Azur;Données définitives;01/01/2013;00:00;2013-01-01T00:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;
11;Île-de-France;Données définitives;01/01/2013;00:00;2013-01-01T00:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;
84;Auvergne-Rhône-Alpes;Données définitives;01/01/2013;00:00;2013-01-01T00:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;
