Semaine;Annee;Thermique (MW)_reel;Nucléaire (MW)_reel;Eolien (MW)_reel;Solaire (MW)_reel;Hydraulique (MW)_reel;Pompage (MW)_reel;Bioénergies (MW)_reel;Ech. physiques (MW)_reel;Thermique (MW)_max;Nucléaire (MW)_max;Eolien (MW)_max;Solaire (MW)_max;Hydraulique (MW)_max;Bioénergies (MW)_max;Ech. physiques (MW)_min;Ech. physiques (MW)_max
2013-00;2013;7115;57597;4170;1299;14235;-3;787;-3691;25706.7;63130.0;8157.0;4366.0;25434.0;1496.1;-10000;10000
2013-01;2013;11781;59034;2335;1374;15828;-3;814;-2682;25706.7;63130.0;8157.0;4366.0;25434.0;1496.1;-10000;10000
2013-02;2013;14957;59102;3699;1286;15248;-3;783;3925;25706.7;63130.0;8157.0;4366.0;25434.0;1496.1;-10000;10000
2013-03;2013;14540;58935;4716;1338;15365;-3;758;302;25706.7;63130.0;8157.0;4366.0;25434.0;1496.1;-10000;10000
2013-04;2013;11138;57878;5841;1468;14841;-2;808;-3406;25706.7;63130.0;8157.0;4366.0;25434.0;1496.1;-10000;10000
2013-05;2013;12879;56360;5662;1338;16675;-10;778;-247;25706.7;63130.0;8157.0;4366.0;25434.0;1496.1;-10000;10000
2013-06;2013;12880;56892;3423;1934;16287;-10;757;546;25706.7;63130.0;8157.0;4366.0;25434.0;1496.1;-10000;10000
2013-07;2013;14487;55873;4579;2229;16796;-10;768;3004;25706.7;63130.0;8157.0;4366.0;25434.0;1496.1;-10000;10000
2013-08;2013;15298;53854;2844;2377;14685;-2;758;4111;25706.7;63130.0;8157.0;4366.0;25434.0;1496.1;-10000;10000
2013-09;2013;11572;53322;4338;2360;12831;-2;776;674;25706.7;63130.0;8157.0;4366.0;25434.0;1496.1;-10000;10000
2013-10;2013;13956;53284;4726;2574;14968;-2;755;4928;25706.7;63130.0;8157.0;4366.0;25434.0;1496.1;-10000;10000
