Annee;Mois;Code INSEE région;Région;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%)
2013;2013-01;11;Île-de-France;16826536;1511681;0;5861;1614;86;0;187515;15116737;;;;;;;;;;;;
2013;2013-01;24;Centre-Val de Loire;4418962;142685;15413978;243996;6996;47386;0;33722;-11472246;;;;;;;;;;;;
2013;2013-01;27;Bourgogne-Franche-Comté;4704866;487702;0;42601;4347;241036;-6;20181;3903732;;;;;;;;;;;;
2013;2013-01;28;Normandie;6496893;1359372;14923798;172793;3332;28783;0;75817;-10071821;;;;;;;;;;;;
2013;2013-01;32;Hauts-de-France;11056438;1655356;7314899;533164;2851;1486;0;103008;1440237;;;;;;;;;;;;
2013;2013-01;44;Grand Est;9732409;3041047;14501127;550854;14825;1621295;-230275;87938;-9860425;;;;;;;;;;;;
2013;2013-01;52;Pays de la Loire;6123395;1634777;0;150847;14908;2323;0;49781;4267383;;;;;;;;;;;;
2013;2013-01;53;Bretagne;5055739;94521;0;235349;7645;112716;-8719;25014;4586576;;;;;;;;;;;;
2013;2013-01;75;Nouvelle-Aquitaine;9828102;378586;9591748;121825;47028;929447;0;202623;-1450144;;;;;;;;;;;;
2013;2013-01;76;Occitanie;8618360;153116;3698196;415368;68410;2409534;-353245;107533;2113717;;;;;;;;;;;;
2013;2013-01;84;Auvergne-Rhône-Alpes;14455649;565977;19264589;130835;27494;6070182;-612641;103065;-11099122;;;;;;;;;;;;
2013;2013-01;93;Provence-Alpes-Côte d'Azur;9198006;1551131;0;24333;76094;2153863;-58;93777;5295632;;;;;;;;;;;;
2013;2013-02;11;Île-de-France;15613449;1342749;0;6789;4251;8;0;173797;14083374;;;;;;;;;;;;
2013;2013-02;24;Centre-Val de Loire;4141006;116908;13980033;299844;14658;53641;0;32163;-10358470;;;;;;;;;;;;
2013;2013-02;27;Bourgogne-Franche-Comté;4406255;420302;0;49090;10603;247337;0;18512;3655115;;;;;;;;;;;;
2013;2013-02;28;Normandie;6028259;1363271;12634684;177160;7393;21810;0;70974;-8252042;;;;;;;;;;;;
2013;2013-02;32;Hauts-de-France;10060859;1613401;5912332;566387;8029;1339;0;91135;1863302;;;;;;;;;;;;
2013;2013-02;44;Grand Est;9179833;3744943;12169521;664312;28165;1410734;-178145;79225;-8744687;;;;;;;;;;;;
2013;2013-02;52;Pays de la Loire;5721150;1813103;0;191716;28794;2586;0;44853;3637247;;;;;;;;;;;;
2013;2013-02;53;Bretagne;4638212;86293;0;245074;14435;94298;-7040;24885;4177846;;;;;;;;;;;;
2013;2013-02;75;Nouvelle-Aquitaine;8963998;321708;8744393;139551;84816;1139804;0;185632;-1658488;;;;;;;;;;;;
2013;2013-02;76;Occitanie;7752824;111573;3421011;416915;106364;2791829;-316515;92861;1123875;;;;;;;;;;;;
2013;2013-02;84;Auvergne-Rhône-Alpes;13605248;475746;16616815;131009;41655;5598065;-443817;82818;-8901688;;;;;;;;;;;;
2013;2013-02;93;Provence-Alpes-Côte d'Azur;8547998;1289123;0;23479;92626;2166880;-31;84599;4888431;;;;;;;;;;;;
2013;2013-03;11;Île-de-France;15582496;1544133;0;5255;7519;5987;0;176462;13839870;;;;;;;;;;;;
2013;2013-03;24;Centre-Val de Loire;4067202;125727;13686620;251326;23267;31671;0;40535;-10094547;;;;;;;;;;;;
2013;2013-03;27;Bourgogne-Franche-Comté;4383280;417864;0;42604;19835;167134;0;20933;3708895;;;;;;;;;;;;
2013;2013-03;28;Normandie;6290628;1409635;12573897;145041;10637;30351;0;70005;-7955042;;;;;;;;;;;;
2013;2013-03;32;Hauts-de-France;10490636;1539762;5188136;549111;13566;1499;0;100278;3091341;;;;;;;;;;;;
2013;2013-03;44;Grand Est;9396491;3395135;13434720;631826;59101;1388330;-223574;91441;-9387568;;;;;;;;;;;;
2013;2013-03;52;Pays de la Loire;5768445;1622580;0;172555;42423;2940;0;55102;3869528;;;;;;;;;;;;
2013;2013-03;53;Bretagne;4913508;95224;0;239614;20449;99640;-6859;26773;4435928;;;;;;;;;;;;
2013;2013-03;75;Nouvelle-Aquitaine;8653280;317297;8803136;132861;135957;909294;0;213795;-1866728;;;;;;;;;;;;
2013;2013-03;76;Occitanie;7378251;173080;3597812;373913;152131;2863556;-360601;106655;466116;;;;;;;;;;;;
2013;2013-03;84;Auvergne-Rhône-Alpes;13293588;437527;16343857;124316;68253;5148910;-609377;101623;-8326510;;;;;;;;;;;;
2013;2013-03;93;Provence-Alpes-Côte d'Azur;8274568;1511287;0;21199;113023;2064457;0;63917;4497474;;;;;;;;;;;;
2013;2013-04;11;Île-de-France;12457808;395202;0;6476;12393;7542;0;153217;11880147;;;;;;;;;;;;
2013;2013-04;24;Centre-Val de Loire;3216031;12600;10903923;270265;34381;45377;0;24622;-8077675;;;;;;;;;;;;
2013;2013-04;27;Bourgogne-Franche-Comté;3590999;66106;0;50391;27851;191059;-68;14909;3235134;;;;;;;;;;;;
2013;2013-04;28;Normandie;5076206;917648;10600232;185333;19618;27482;0;66770;-6747269;;;;;;;;;;;;
2013;2013-04;32;Hauts-de-France;8692895;838290;4323201;599783;23934;1444;0;78202;2820853;;;;;;;;;;;;
2013;2013-04;44;Grand Est;7774641;1807523;13309418;724457;82900;1664627;-212058;59514;-9668609;;;;;;;;;;;;
2013;2013-04;52;Pays de la Loire;4727256;909280;0;191962;62781;3246;0;44142;3512778;;;;;;;;;;;;
2013;2013-04;53;Bretagne;4030591;3678;0;333355;32531;82488;-5083;21459;3559428;;;;;;;;;;;;
2013;2013-04;75;Nouvelle-Aquitaine;7083239;72427;5544436;112438;164146;1016194;0;179814;-15098;;;;;;;;;;;;
2013;2013-04;76;Occitanie;6042499;2132;3449599;365283;171575;2737434;-168785;70351;-588996;;;;;;;;;;;;
2013;2013-04;84;Auvergne-Rhône-Alpes;10929625;78801;14807580;110378;78654;5880660;-699034;76124;-9407532;;;;;;;;;;;;
2013;2013-04;93;Provence-Alpes-Côte d'Azur;6647242;978766;0;13816;128395;2580432;-488;57435;2885836;;;;;;;;;;;;
2013;2013-05;11;Île-de-France;11149587;84374;0;4492;13259;230;0;172333;10872430;;;;;;;;;;;;
2013;2013-05;24;Centre-Val de Loire;2870185;10445;11036612;201529;36198;49996;0;42829;-8509650;;;;;;;;;;;;
2013;2013-05;27;Bourgogne-Franche-Comté;3444415;41735;0;36080;29947;241026;-11;20535;3069650;;;;;;;;;;;;
2013;2013-05;28;Normandie;4457126;737560;9044176;136168;20760;14985;0;64009;-5566311;;;;;;;;;;;;
2013;2013-05;32;Hauts-de-France;8211442;493442;4944881;464861;24017;1532;0;95794;2180432;;;;;;;;;;;;
2013;2013-05;44;Grand Est;7238021;511100;13975171;446110;84603;1936507;-179949;63323;-9606226;;;;;;;;;;;;
2013;2013-05;52;Pays de la Loire;4060453;396820;0;132277;67785;2190;0;50193;3408088;;;;;;;;;;;;
2013;2013-05;53;Bretagne;3362309;3578;0;228230;35751;72227;-6146;28409;2997585;;;;;;;;;;;;
2013;2013-05;75;Nouvelle-Aquitaine;6682801;43839;4722576;82053;166725;1067592;0;186058;404942;;;;;;;;;;;;
2013;2013-05;76;Occitanie;5458026;-3571;3494154;426692;213044;3076571;-470013;109081;-1391475;;;;;;;;;;;;
2013;2013-05;84;Auvergne-Rhône-Alpes;10247670;44056;15047708;112269;101820;7467792;-693357;92089;-11927617;;;;;;;;;;;;
2013;2013-05;93;Provence-Alpes-Côte d'Azur;6141604;541530;0;20004;178668;3071537;-110;54922;2271730;;;;;;;;;;;;
2013;2013-06;11;Île-de-France;9986972;185205;0;4535;14639;6080;0;166779;9607063;;;;;;;;;;;;
2013;2013-06;24;Centre-Val de Loire;2409005;10264;9432563;203677;39535;21641;0;39606;-7341313;;;;;;;;;;;;
2013;2013-06;27;Bourgogne-Franche-Comté;3049060;40440;0;36671;38436;161244;0;12260;2754367;;;;;;;;;;;;
