ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
7558;2010-01-05T10:00:00+01:00;100280;-50.0;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;260;1.5;275.75;275.75;100;4000.0;Bruine, sans congélation, intermittente, faible au moment de l’observation;Bruine;5;100.0;8;250.0;37;61;60;91870.0;;;;;;;;;;;;2.1;-10.0;;;0.0;-30.0;0.0;0.4;;;;710.0;1102.0;3100.0;;6.0;7;180.0;7.0;6;480.0;;;;;;;44.1185,3.0195;MILLAU;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;Bruine;Bruine, sans congélation, intermittente, faible au moment de l’observation;2.6000000000000227;;;;;;44.1185;3.0195;712;Millau;12145;CC de Millau Grands Causses;241200567;Aveyron;12;Occitanie;76;1
61976;2010-01-05T10:00:00+01:00;100990;;;;;305.45;299.05;69;50000.0;État du ciel inchangé dans l’ensemble;1;1;60.0;1;800.0;32;20;12;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;2439.0;;;;1.0;8;600.0;5.0;0;7500.0;;;;;;;-15.887667,54.520667;TROMELIN;;1;État du ciel inchangé dans l’ensemble;32.30000000000001;;;;;;-15.887667;54.520667;7;;;;;;;;;1
7027;2010-01-05T13:00:00+01:00;100720;-190.0;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;200;3.6;273.65;271.75;87;12000.0;État du ciel inchangé dans l’ensemble;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;1;75.0;6;800.0;35;20;10;99880.0;;;;;;;;;;;;5.1;-10.0;;;0.0;-60.0;0.0;0.0;0.0;;;710.0;1105.0;3100.0;;3.0;6;810.0;6.0;6;1200.0;;;;;;;49.18,-0.456167;CAEN-CARPIQUET;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;État du ciel inchangé dans l’ensemble;0.5;;;;;;49.18;-0.456167;67;Carpiquet;14137;CU Caen la Mer;200065597;Calvados;14;Normandie;28;1
7110;2010-01-05T13:00:00+01:00;100750;-230.0;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;210;4.1;276.95;272.55;73;25000.0;État du ciel inchangé dans l’ensemble;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;1;75.0;6;450.0;38;20;15;99580.0;;;;;;;;;;;;7.2;-10.0;;;0.0;-60.0;0.0;0.0;0.0;;;710.0;1107.0;3100.0;;1.0;8;450.0;6.0;6;1800.0;5.0;2;6900.0;;;;48.444167,-4.412;BREST-GUIPAVAS;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;État du ciel inchangé dans l’ensemble;3.8000000000000114;;;;;;48.444167;-4.412;94;Guipavas;29075;Brest Métropole;242900314;Finistère;29;Bretagne;53;1
7591;2010-01-05T13:00:00+01:00;;;;;;274.45;269.05;67;;Chute continue de flocons de neige, forte au moment de l’observation;;;;;;;;;89870.0;85000.0;12970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.565667,6.502333;EMBRUN;;;Chute continue de flocons de neige, forte au moment de l’observation;1.3000000000000114;;;;;;44.565667;6.502333;871;Embrun;5046;CC Serre-Ponçon;200067742;Hautes-Alpes;5;Provence-Alpes-Côte d'Azur;93;1
71805;2010-01-05T13:00:00+01:00;99010;130.0;2;210;9.8;275.05;274.95;99;8000.0;Pluie, sans congélation, intermittente, faible au moment de l’observation;6;2;90.0;7;250.0;37;61;60;98920.0;;;;;;;;;;;;13.4;-10.0;;;0.0;-60.0;0.0;0.0;0.0;;;710.0;1113.0;3100.0;;7.0;7;180.0;;;;;;;;;;46.766333,-56.179167;ST-PIERRE;2;6;Pluie, sans congélation, intermittente, faible au moment de l’observation;1.900000000000034;;;;;;46.766333;-56.179167;21;;;;;;;;;1
78925;2010-01-05T13:00:00+01:00;101630;180.0;3;30;0.5;299.05;295.95;83;15000.0;Dans l’ensemble, nuages se dissipant ou devenant moins épais;8;6;40.0;3;800.0;32;20;10;;;;100.0;297.15;;;303.55;;;;;;;;;;;;;1.0;;1.2;;;;;3.0;8;600.0;;;;;;;;;;14.595333,-60.995667;LAMENTIN-AERO;3;8;Dans l’ensemble, nuages se dissipant ou devenant moins épais;25.900000000000034;24.0;;;30.400000000000034;;14.595333;-60.995667;3;Le Lamentin;97213;CA du Centre de la Martinique;249720061;Martinique;972;Martinique;2;1
7015;2010-01-05T16:00:00+01:00;100480;-150.0;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;190;1.5;274.85;271.45;78;12000.0;État du ciel inchangé dans l’ensemble;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;1;75.0;4;3500.0;30;23;11;99900.0;;;;;;;;;;;;3.6;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1104.0;3100.0;;4.0;3;4500.0;4.0;0;6900.0;;;;;;;50.57,3.0975;LILLE-LESQUIN;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;État du ciel inchangé dans l’ensemble;1.7000000000000455;;;;;;50.57;3.0975;47;Fretin;59256;Métropole Européenne de Lille;245900410;Nord;59;Hauts-de-France;32;1
7149;2010-01-05T16:00:00+01:00;100530;-210.0;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;10;2.6;272.65;268.25;69;18000.0;État du ciel inchangé dans l’ensemble;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;1;40.0;1;800.0;35;20;11;99410.0;;;;;;;;;;;;4.6;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1105.0;3100.0;;1.0;6;960.0;3.0;0;7500.0;;;;;;;48.716833,2.384333;ORLY;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;État du ciel inchangé dans l’ensemble;-0.5;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;1
81408;2010-01-05T16:00:00+01:00;101220;;;80;4.1;303.25;296.95;69;;;;;;;;;;;101140.0;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;3.890667,-51.804667;SAINT GEORGES;;;;30.100000000000023;;;;;;3.890667;-51.804667;6;Saint-Georges;97308;CC de l'Est Guyanais;249730052;Guyane;973;Guyane;3;1
