predicted_mean;Semaine
62248;2019-13
60320;2019-14
54827;2019-15
59004;2019-16
50825;2019-17
58089;2019-18
54099;2019-19
54056;2019-20
54397;2019-21
53886;2019-22
55986;2019-23
55426;2019-24
57073;2019-25
56431;2019-26
56615;2019-27
57647;2019-28
55495;2019-29
53557;2019-30
49483;2019-31
53587;2019-32
54124;2019-33
54585;2019-34
55221;2019-35
54686;2019-36
55165;2019-37
57235;2019-38
55659;2019-39
55492;2019-40
60620;2019-41
73991;2019-42
67753;2019-43
66344;2019-44
80338;2019-45
77316;2019-46
69594;2019-47
84676;2019-48
78462;2019-49
75758;2019-50
68633;2019-51
81571;2019-52
86432;2020-00
82962;2020-01
88454;2020-02
86011;2020-03
86359;2020-04
81609;2020-05
74291;2020-06
69590;2020-07
69678;2020-08
72364;2020-09
70604;2020-10
65760;2020-11
69585;2020-12
60320;2020-13
54827;2020-14
59004;2020-15
50825;2020-16
58089;2020-17
54099;2020-18
54056;2020-19
54397;2020-20
53886;2020-21
55986;2020-22
55426;2020-23
57073;2020-24
56431;2020-25
56615;2020-26
57647;2020-27
55495;2020-28
53557;2020-29
49483;2020-30
53587;2020-31
54124;2020-32
54585;2020-33
55221;2020-34
54686;2020-35
55165;2020-36
57235;2020-37
55659;2020-38
55492;2020-39
60620;2020-40
73991;2020-41
67753;2020-42
66344;2020-43
80338;2020-44
77316;2020-45
69594;2020-46
84676;2020-47
78462;2020-48
75758;2020-49
68633;2020-50
81571;2020-51
86432;2020-52
82962;2021-00
88454;2021-01
86011;2021-02
86359;2021-03
81609;2021-04
74291;2021-05
69590;2021-06
69678;2021-07
72364;2021-08
70604;2021-09
65760;2021-10
69585;2021-11
60320;2021-12
54827;2021-13
59004;2021-14
50825;2021-15
58089;2021-16
54099;2021-17
54056;2021-18
54397;2021-19
53886;2021-20
55986;2021-21
55426;2021-22
57073;2021-23
56431;2021-24
56615;2021-25
57647;2021-26
55495;2021-27
53557;2021-28
49483;2021-29
53587;2021-30
54124;2021-31
54585;2021-32
55221;2021-33
54686;2021-34
55165;2021-35
57235;2021-36
55659;2021-37
55492;2021-38
60620;2021-39
73991;2021-40
67753;2021-41
66344;2021-42
80338;2021-43
77316;2021-44
69594;2021-45
84676;2021-46
78462;2021-47
75758;2021-48
