Date;Point_max;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Production totale (MW);temp;humidite;nebulosite;rafale_periode;vitesse_vent;pluie_3h;pluie_6h;pluie_12h;pluie_24h;year;week
2015-01-04;2015-01-02T19:00:00+01:00;75334;5802;58730;1659;0;13493;-57;892;-5184;80519;4.806957417582439;83.13063186813187;86.58513049450549;5.620075549450549;3.219855769230769;1.8692307692307693;3.869230769230769;7.138461538461538;8.7;2015;1
2015-01-11;2015-01-06T19:00:00+01:00;83939;10748;60182;1686;0;14494;-4;863;-4034;87969;3.56385812905046;87.40841258100873;87.2489081431389;4.62595960129614;2.5747240419836572;0.6000000000000001;1.2538461538461538;2.0923076923076924;2.5384615384615383;2015;2
2015-01-18;2015-01-12T19:00:00+01:00;77277;5515;59712;6353;0;13682;-10;953;-8923;86205;7.211442307692332;74.16092032967033;82.01974587912088;8.794203296703298;5.082142857142857;0.7846153846153846;1.6076923076923075;2.5307692307692307;14.484615384615385;2015;3
2015-01-25;2015-01-22T19:00:00+01:00;86687;11092;60563;1394;0;14959;-10;899;-2208;88897;2.5467651098901314;84.5614010989011;77.51926510989011;5.002026098901099;2.7462774725274723;1.7538461538461538;5.184615384615385;21.03846153846154;68.33076923076922;2015;4
2015-02-01;2015-01-26T19:00:00+01:00;82818;10656;59867;3226;0;13660;-4;950;-5534;88355;5.259333791208816;82.47987637362637;93.81102335164836;6.306524725274725;3.7814903846153842;5.261538461538462;10.015384615384615;16.03846153846154;18.700000000000003;2015;5
2015-02-08;2015-02-06T19:00:00+01:00;91933;11506;58914;6673;0;14907;-19;935;-986;92916;0.9034874260355269;70.90532544378698;79.19332470414201;10.96353550295858;6.414977810650887;1.7307692307692308;3.5615384615384618;8.723076923076922;21.376923076923074;2015;6
2015-02-15;2015-02-09T09:00:00+01:00;83825;10578;57478;1249;454;12991;-11;924;162;83663;3.0996531593406833;75.58959478021978;60.75;5.100954670329671;2.787355769230769;-0.03846153846153846;-0.03076923076923077;-0.04615384615384615;0.061538461538461535;2015;7
2015-02-22;2015-02-19T09:30:00+01:00;79080;9889;54788;1487;1167;12923;-10;931;-2094;81175;4.687603021978044;79.06868131868131;74.74773351648352;5.467053571428571;3.068653846153846;2.1461538461538465;3.5999999999999996;4.061538461538461;4.269230769230768;2015;8
2015-03-01;2015-02-24T19:30:00+01:00;78722;9437;54407;3929;0;14409;-18;940;-4383;83104;5.935096153846178;76.39574175824175;73.8643543956044;9.454093406593406;5.545714285714286;9.138461538461538;20.623076923076926;45.661538461538456;106.4923076923077;2015;9
2015-03-08;2015-03-06T08:30:00+01:00;75701;8691;50972;1024;718;14982;-49;924;-1563;77262;6.339506688963234;63.748736860965124;57.75996625656952;4.5993976946966075;2.587403547539417;0.007692307692307693;0.02307692307692308;0.03846153846153847;2.1999999999999997;2015;10
2015-03-15;2015-03-10T19:30:00+01:00;69295;7300;51064;1144;0;13270;-4;920;-4399;73694;9.386483516483539;79.37760989010988;87.40350274725276;4.453722527472528;2.3713736263736265;0.5846153846153845;1.2846153846153845;2.0153846153846158;2.661538461538461;2015;11
2015-03-22;2015-03-16T09:00:00+01:00;71126;9037;51616;547;692;11330;-13;915;-3002;74124;7.462025014459245;75.16477009832273;72.6593515037594;5.16608245373048;2.5366132880277616;8.223076923076922;14.930769230769231;28.47692307692308;68.71538461538461;2015;12
2015-03-29;2015-03-26T09:30:00+01:00;72643;7682;50202;3774;1636;10503;-4;882;-2032;74675;7.279308608058631;79.78940018315019;71.69720695970696;7.961888736263736;4.311236263736264;5.046153846153847;9.823076923076924;20.53076923076923;50.13076923076923;2015;13
2015-04-05;2015-04-02T09:30:00+02:00;68495;5064;48090;5835;900;11704;-5;907;-4003;72495;9.293489010989035;76.72864010989011;82.38804945054946;8.589423076923076;4.759821428571429;3.4538461538461536;7.315384615384616;12.946153846153846;20.36923076923077;2015;14
2015-04-12;2015-04-07T09:30:00+02:00;67379;5348;46562;1388;1674;10656;-4;791;967;66415;9.306078296703317;56.329807692307696;42.18389423076923;7.37239010989011;3.895528846153846;0.10769230769230768;0.21538461538461537;0.4076923076923077;0.5615384615384615;2015;15
2015-04-19;2015-04-13T09:30:00+02:00;56312;5112;43611;244;1695;9094;-5;738;-4179;60489;14.118571428571453;67.37101648351648;46.579670329670336;5.159306318681319;2.255212912087912;0.10000000000000002;0.20000000000000004;0.4000000000000001;0.7538461538461539;2015;16
2015-04-26;2015-04-20T12:00:00+02:00;56006;3821;42049;749;3012;9293;-24;719;-3614;59619;12.993255494505519;65.01197344322344;51.057657967032966;6.239785943223443;3.2322836538461535;2.5384615384615383;6.038461538461538;15.323076923076922;55.93846153846154;2015;17
2015-05-03;2015-04-30T13:00:00+02:00;59351;2818;44427;2296;3222;10582;-24;835;-4809;64156;11.535600850762163;77.1686746721021;81.3699430609713;6.292708259482453;3.244801931939029;13.784615384615385;23.246153846153845;41.15384615384615;56.96923076923077;2015;18
2015-05-10;2015-05-06T13:00:00+02:00;55903;1123;40909;6498;3458;9910;-44;820;-6775;62674;13.721583896872382;68.80163250211328;62.771621407438715;9.654238958157228;5.154546174978867;2.9923076923076923;6.161538461538461;12.623076923076923;26.638461538461538;2015;19
2015-05-17;2015-05-12T13:00:00+02:00;54380;870;42592;1451;3585;11144;-43;862;-6079;60461;17.47782242158175;69.56187329006808;73.97501587793926;6.123473320517366;3.069057912724166;0.09230769230769233;0.19230769230769235;0.39230769230769236;0.6846153846153846;2015;20
2015-05-24;2015-05-20T12:00:00+02:00;57087;862;44528;1803;3144;10449;-30;793;-4460;61549;11.442884615384639;68.96373626373627;65.26373626373626;7.764690934065934;4.210336538461538;5.523076923076923;11.23076923076923;21.22307692307692;48.23076923076923;2015;21
2015-05-31;2015-05-28T13:00:00+02:00;55114;758;45361;1951;3890;7485;-13;856;-5170;60288;15.5894230769231;66.82012362637363;65.30322802197803;6.247977335164834;3.184299450549451;0.10769230769230768;0.19230769230769232;0.39230769230769236;0.6846153846153846;2015;22
2015-06-07;2015-06-05T13:00:00+02:00;56847;1731;44328;721;4026;10946;-8;794;-5694;62538;22.399127492877515;63.43917378917379;54.317886396011396;6.516631054131054;3.2404825498575502;0.2923076923076923;0.5846153846153846;0.8153846153846154;0.8538461538461538;2015;23
