Date;Code INSEE région;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Production totale (MW);temp;humidite;nebulosite;rafale_periode;vitesse_vent;pluie_3h;pluie_6h;pluie_12h;pluie_24h;year;week
2015-01-04;11;11960;323;0;1;0;5;0;127;11504;456;4.062500000000021;88.375;73.75;6.125;3.2625;0.0;0.2;0.6000000000000001;1.2000000000000002;2015;1
2015-01-04;24;3017;77;10580;13;0;51;0;41;-7746;10762;3.143750000000022;92.6875;91.59375;4.425;2.2625;4.4;8.8;14.4;14.4;2015;1
2015-01-04;27;3469;101;0;37;0;258;0;21;3052;417;-0.8124999999999787;97.0;100.125;4.325;2.6125;0.5;1.1;2.0;2.0;2015;1
2015-01-04;28;4311;414;10476;43;0;16;0;57;-6695;11006;7.590625000000021;84.25;89.21875;7.884375;4.8625;1.3;3.0;6.6000000000000005;9.2;2015;1
2015-01-04;32;7224;726;5507;458;0;2;0;105;425;6798;6.912500000000023;81.9375;77.8125;9.4875;5.75625;0.8;2.0;4.4;7.800000000000001;2015;1
2015-01-04;44;6677;1668;12228;381;0;1381;0;78;-9059;15736;1.250000000000027;93.025;97.55;5.86;3.505;7.6;15.3;28.4;30.8;2015;1
2015-01-04;52;4266;678;0;10;0;4;0;37;3537;729;7.487500000000018;95.125;93.75;4.425;2.225;2.7;5.5;10.3;11.1;2015;1
2015-01-04;53;3408;106;0;9;0;17;-54;35;3297;113;10.231250000000028;84.9375;85.875;8.290625;4.609375;5.0;10.2;20.3;30.8;2015;1
2015-01-04;75;7554;125;5754;69;0;885;0;163;559;6996;3.3525000000000205;86.45;93.8625;4.404999999999999;2.875;2.3000000000000003;4.5;6.1000000000000005;6.1000000000000005;2015;1
2015-01-04;76;6842;65;2617;494;0;3286;0;66;314;6528;3.566071428571452;65.03571428571429;97.30357142857144;3.542857142857143;1.925;0.0;0.0;0.0;0.0;2015;1
2015-01-04;84;9897;209;11568;116;0;5863;-3;92;-7948;17845;1.6718750000000266;71.03125;80.078125;5.115625;2.271875;-0.3;-0.3;-0.3;-0.3;2015;1
2015-01-04;93;6709;1310;0;28;0;1725;0;70;3576;3133;6.521875000000021;68.40625;44.6875;4.275;3.071875;0.0;0.0;0.0;0.0;2015;1
2015-01-11;11;14150;1267;0;3;0;5;0;129;12745;1404;0.8625000000000185;95.375;100.25;4.525;2.35;0.0;0.0;-0.1;-0.5;2015;2
2015-01-11;24;3468;81;11604;96;0;61;0;38;-8412;11880;1.3500000000000298;98.6875;84.15625;3.16875;1.8375;0.5;0.3999999999999999;0.2999999999999999;0.2999999999999999;2015;2
2015-01-11;27;3982;148;0;50;0;304;0;21;3458;523;-2.0499999999999687;98.875;100.875;3.0875;1.5375;0.0;0.0;0.0;0.0;2015;2
2015-01-11;28;4860;443;10390;117;0;16;0;51;-6157;11017;4.468750000000025;91.78125;91.296875;6.4;3.984375;0.9;2.0;4.1;5.2;2015;2
2015-01-11;32;8814;1291;5508;513;0;2;0;104;1395;7418;1.1500000000000234;96.8125;96.6875;6.0125;3.875;-0.5;-0.6000000000000001;-0.9;-1.1;2015;2
2015-01-11;44;7946;2605;12219;228;0;1593;0;78;-8777;16723;-1.379487179487158;92.4102564102564;80.21794871794872;3.5025641025641026;1.5743589743589743;0.1;0.2;0.6000000000000001;0.6000000000000001;2015;2
