Date;Code INSEE region;vitesse_vent;vent_min;vent_faible;vent_moyen;vent_fort;vent_max;year;week;mois
04/01/2015;11;3.2625;0.788;2.135;3.483;6.235;8.988;2015;1;1
04/01/2015;24;2.2625;0.906;2.099;3.292;5.793;8.294;2015;1;1
04/01/2015;27;2.6125;0.825;2.006;3.186;5.449;7.713;2015;1;1
04/01/2015;28;4.8625;1.013;2.888;4.764;7.759;10.753;2015;1;1
04/01/2015;32;5.75625;1.219;2.786;4.353;8.026;11.7;2015;1;1
04/01/2015;44;3.505;1.078;2.212;3.347;6.505;9.663;2015;1;1
04/01/2015;52;2.225;1.65;2.535;3.419;6.06;8.7;2015;1;1
04/01/2015;53;4.609375;2.188;3.737;5.286;8.166;11.047;2015;1;1
04/01/2015;75;2.875;1.672;2.716;3.76;6.325;8.89;2015;1;1
04/01/2015;76;1.925;1.345;2.467;3.59;5.958;8.325;2015;1;1
04/01/2015;84;2.271875;1.469;2.35;3.231;4.848;6.466;2015;1;1
04/01/2015;93;3.071875;2.281;3.424;4.567;7.198;9.828;2015;1;1
11/01/2015;11;2.35;0.788;2.135;3.483;6.235;8.988;2015;2;1
11/01/2015;24;1.8375;0.906;2.099;3.292;5.793;8.294;2015;2;1
11/01/2015;27;1.5375;0.825;2.006;3.186;5.449;7.713;2015;2;1
11/01/2015;28;3.984375;1.013;2.888;4.764;7.759;10.753;2015;2;1
11/01/2015;32;3.875;1.219;2.786;4.353;8.026;11.7;2015;2;1
11/01/2015;44;1.574358974;1.078;2.212;3.347;6.505;9.663;2015;2;1
11/01/2015;52;2.9875;1.65;2.535;3.419;6.06;8.7;2015;2;1
11/01/2015;53;4.1;2.188;3.737;5.286;8.166;11.047;2015;2;1
11/01/2015;75;1.9975;1.672;2.716;3.76;6.325;8.89;2015;2;1
11/01/2015;76;1.946428571;1.345;2.467;3.59;5.958;8.325;2015;2;1
11/01/2015;84;2;1.469;2.35;3.231;4.848;6.466;2015;2;1
11/01/2015;93;2.8875;2.281;3.424;4.567;7.198;9.828;2015;2;1
18/01/2015;11;5.8125;0.788;2.135;3.483;6.235;8.988;2015;3;1
18/01/2015;24;4.35625;0.906;2.099;3.292;5.793;8.294;2015;3;1
18/01/2015;27;3.9875;0.825;2.006;3.186;5.449;7.713;2015;3;1
18/01/2015;28;9.38125;1.013;2.888;4.764;7.759;10.753;2015;3;1
18/01/2015;32;8.4;1.219;2.786;4.353;8.026;11.7;2015;3;1
18/01/2015;44;5.3175;1.078;2.212;3.347;6.505;9.663;2015;3;1
18/01/2015;52;5.175;1.65;2.535;3.419;6.06;8.7;2015;3;1
18/01/2015;53;10.034375;2.188;3.737;5.286;8.166;11.047;2015;3;1
18/01/2015;75;3.8575;1.672;2.716;3.76;6.325;8.89;2015;3;1
18/01/2015;76;2.217857143;1.345;2.467;3.59;5.958;8.325;2015;3;1
18/01/2015;84;1.659375;1.469;2.35;3.231;4.848;6.466;2015;3;1
18/01/2015;93;3.48125;2.281;3.424;4.567;7.198;9.828;2015;3;1
25/01/2015;11;2.95;0.788;2.135;3.483;6.235;8.988;2015;4;1
25/01/2015;24;2.13125;0.906;2.099;3.292;5.793;8.294;2015;4;1
25/01/2015;27;3.2375;0.825;2.006;3.186;5.449;7.713;2015;4;1
25/01/2015;28;2.7375;1.013;2.888;4.764;7.759;10.753;2015;4;1
25/01/2015;32;3.3125;1.219;2.786;4.353;8.026;11.7;2015;4;1
25/01/2015;44;2.52;1.078;2.212;3.347;6.505;9.663;2015;4;1
25/01/2015;52;2.0875;1.65;2.535;3.419;6.06;8.7;2015;4;1
25/01/2015;53;2.390625;2.188;3.737;5.286;8.166;11.047;2015;4;1
25/01/2015;75;3.27;1.672;2.716;3.76;6.325;8.89;2015;4;1
