region,aaaammjj,annee,mois,joursem,jour,temp,humidite,nebulosite,nebulosite2,rafale_periode,vitesse_vent,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h
11,2015-01-01,2015,1,3,1,0.40000000000001995,84.25,30.625,30.625,3.5875000000000004,1.85,0.0,0.0,0.0,0.0,0.0
11,2015-01-02,2015,1,4,2,4.062500000000021,88.375,73.75,73.75,6.125,3.2625,0.0,0.2,0.4,0.8,1.2000000000000002
11,2015-01-03,2015,1,5,3,6.925000000000026,93.125,92.0625,97.625,9.275,4.5625,0.8,3.0,6.0,10.4,12.2
11,2015-01-04,2015,1,6,4,4.325000000000024,83.75,72.5,72.5,4.05,2.2625,0.2,1.2,2.4,6.4,21.8
11,2015-01-05,2015,1,0,5,-0.3874999999999744,95.25,77.125,77.125,2.3875,1.1375,0.0,0.0,0.0,0.0,0.0
11,2015-01-06,2015,1,1,6,0.8625000000000185,95.375,100.25,100.25,4.525,2.35,0.0,0.0,0.0,0.0,0.0
11,2015-01-07,2015,1,2,7,2.587500000000013,96.75,94.125,94.125,3.9875,2.1375,0.0,0.0,0.0,0.0,0.0
11,2015-01-08,2015,1,3,8,8.200000000000024,90.125,80.0,80.0,9.6375,5.2625,1.0,2.8,5.6,9.2,9.2
11,2015-01-09,2015,1,4,9,10.412500000000023,88.125,96.25,96.25,11.3375,6.0,1.0,1.2,2.4000000000000004,6.4,19.2
11,2015-01-10,2015,1,5,10,12.03750000000003,84.125,93.75,93.75,13.6375,7.15,1.8,1.8,3.6,4.0,7.2
11,2015-01-11,2015,1,6,11,6.3625000000000185,75.25,60.0,60.0,8.1375,4.6875,0.0,0.0,0.0,3.6,10.8
11,2015-01-12,2015,1,0,12,7.100000000000023,79.375,89.375,89.375,10.7625,5.8125,0.0,0.0,0.0,0.0,0.0
11,2015-01-13,2015,1,1,13,8.85000000000003,82.375,78.75,78.75,11.725,6.1,0.0,1.2,2.4,3.4,3.4
11,2015-01-14,2015,1,2,14,6.800000000000033,80.0,87.5,87.5,11.275,5.525,0.4,3.0,6.0,12.2,19.2
11,2015-01-15,2015,1,3,15,9.112500000000026,79.0,100.0,100.0,15.6,7.4,1.0,1.8,3.6,6.4,16.8
11,2015-01-16,2015,1,4,16,5.9875000000000185,85.25,92.5,92.5,4.875,2.7875,0.0,2.0,2.4000000000000004,5.2,12.2
11,2015-01-17,2015,1,5,17,2.462500000000013,90.5,55.625,55.625,4.225,1.9625,0.0,0.0,1.6,4.800000000000001,12.4
11,2015-01-18,2015,1,6,18,2.650000000000027,82.25,82.5,85.625,5.4125,3.1,0.0,0.0,0.0,0.0,0.0
11,2015-01-19,2015,1,0,19,2.075000000000017,83.5,93.125,93.125,4.1625,2.4625,0.0,0.4,0.8,1.6,2.0
11,2015-01-20,2015,1,1,20,-0.4999999999999787,92.5,82.5,82.5,2.2375,1.3,0.0,0.0,0.0,0.0,1.2000000000000002
11,2015-01-21,2015,1,2,21,0.587500000000027,83.375,85.625,85.625,4.6875,2.575,0.0,0.0,0.0,0.0,0.0
11,2015-01-22,2015,1,3,22,-0.3624999999999829,85.875,61.25,70.625,6.3625,2.95,0.0,0.0,0.0,0.0,0.0
11,2015-01-23,2015,1,4,23,-0.04999999999997584,81.75,80.0,80.0,5.575,3.1625,0.0,0.0,0.0,0.0,0.0
11,2015-01-24,2015,1,5,24,1.9125000000000298,82.5,77.8125,77.8125,8.4875,4.3,0.4,3.4,6.8,13.6,17.8
11,2015-01-25,2015,1,6,25,2.0000000000000213,84.625,67.5,67.5,4.175,2.3875,0.0,0.0,0.0,0.0,9.4
11,2015-01-26,2015,1,0,26,6.450000000000024,89.375,98.75,98.75,7.0,4.0375,0.4,1.0,1.6,2.4000000000000004,2.6
11,2015-01-27,2015,1,1,27,4.750000000000021,83.625,72.5,72.5,4.475,2.3625,0.0,0.0,0.4,1.6,5.4
11,2015-01-28,2015,1,2,28,5.900000000000027,85.75,98.75,98.75,9.275,4.7625,0.4,1.2000000000000002,2.4,2.8,2.8
11,2015-01-29,2015,1,3,29,4.550000000000033,85.875,92.5,92.5,11.3875,5.925,1.6,3.0,5.199999999999999,9.600000000000001,15.2
11,2015-01-30,2015,1,4,30,2.0000000000000213,86.25,67.5,70.625,9.2875,4.55,1.5999999999999999,4.0,8.8,20.4,35.4
11,2015-01-31,2015,1,5,31,2.8625000000000185,86.125,83.125,83.125,7.2125,3.8625,0.2,4.0,8.0,11.8,29.4
11,2015-02-01,2015,2,6,1,3.075000000000017,85.375,90.625,90.625,9.237499999999999,5.0375,1.0,1.8,3.6,10.799999999999999,26.4
11,2015-02-02,2015,2,0,2,1.8000000000000256,79.875,92.5,92.5,5.5625,2.5,1.2,3.8000000000000003,7.6,15.8,24.6
11,2015-02-03,2015,2,1,3,0.3000000000000185,75.875,79.6875,81.875,4.725,2.225,0.0,0.0,0.0,0.0,8.6
11,2015-02-04,2015,2,2,4,1.4125000000000227,74.875,65.0,65.0,9.1125,5.0625,0.0,0.0,0.0,0.0,0.0
11,2015-02-05,2015,2,3,5,1.025000000000034,76.25,63.125,63.125,10.925,6.2125,0.0,0.2,0.4,0.4,0.4
11,2015-02-06,2015,2,4,6,-0.42499999999996874,68.5,38.75,38.75,13.1875,8.1125,0.0,0.0,0.0,0.4,1.2000000000000002
11,2015-02-07,2015,2,5,7,1.3000000000000185,60.75,15.625,15.625,10.675,6.1,0.0,0.0,0.0,0.0,0.0
11,2015-02-08,2015,2,6,8,4.987500000000026,76.5,83.125,83.125,10.275,5.6625,0.0,0.0,0.0,0.0,0.0
11,2015-02-09,2015,2,0,9,1.6125000000000185,89.0,65.625,65.625,4.9875,2.65,0.0,0.0,0.0,0.0,0.0
